area,session,object,event,start_bin,stop_bin,center_time_s,obs_auc,null_auc_mean,null_auc_ci95_low,null_auc_ci95_high,p_auc,n_shuffle,cv_n_splits,cv_n_repeats
F6,MonkeyC_Session06,Object2,Event1,42,47,0.69,0.52,0.5065333333333333,0.25333333333333335,0.7600000000000001,0.499001996007984,500,3,1
F6,MonkeyC_Session06,Object2,Event1,43,48,0.71,0.25333333333333335,0.5239466666666667,0.2498333333333333,0.7533333333333334,0.9720558882235529,500,3,1
F6,MonkeyC_Session06,Object2,Event1,44,49,0.73,0.4333333333333333,0.49351999999999996,0.22316666666666668,0.7533333333333333,0.6586826347305389,500,3,1
F6,MonkeyC_Session06,Object2,Event1,45,50,0.75,0.21333333333333337,0.5153733333333333,0.26666666666666666,0.7501666666666665,0.9960079840319361,500,3,1
F6,MonkeyC_Session06,Object2,Event3,0,5,-0.75,0.62,0.46597333333333335,0.20983333333333334,0.7466666666666667,0.19161676646706588,500,3,1
F6,MonkeyC_Session06,Object2,Event3,1,6,-0.73,0.5800000000000001,0.5071066666666667,0.2333333333333333,0.7733333333333334,0.3473053892215569,500,3,1
F6,MonkeyC_Session06,Object2,Event3,2,7,-0.7100000000000001,0.36000000000000004,0.5188666666666668,0.26666666666666666,0.7803333333333331,0.8582834331337326,500,3,1
F6,MonkeyC_Session06,Object2,Event3,3,8,-0.6900000000000001,0.5333333333333333,0.5201466666666668,0.22666666666666668,0.7799999999999999,0.48902195608782434,500,3,1
F6,MonkeyC_Session06,Object2,Event3,4,9,-0.67,0.3266666666666667,0.5074266666666666,0.24000000000000002,0.7768333333333332,0.8682634730538922,500,3,1
F6,MonkeyC_Session06,Object2,Event3,5,10,-0.65,0.5866666666666667,0.48556,0.1965,0.7701666666666666,0.2754491017964072,500,3,1
F6,MonkeyC_Session06,Object2,Event3,6,11,-0.63,0.5666666666666665,0.4929866666666667,0.20983333333333337,0.7666666666666667,0.3393213572854291,500,3,1
F6,MonkeyC_Session06,Object2,Event3,7,12,-0.6100000000000001,0.5,0.49329333333333336,0.20983333333333334,0.7600000000000001,0.500998003992016,500,3,1
F6,MonkeyC_Session06,Object2,Event3,8,13,-0.5900000000000001,0.42,0.5146133333333334,0.24,0.7803333333333331,0.7485029940119761,500,3,1
F6,MonkeyC_Session06,Object2,Event3,9,14,-0.5700000000000001,0.4066666666666667,0.5254800000000001,0.2596666666666667,0.7666666666666667,0.8143712574850299,500,3,1
F6,MonkeyC_Session06,Object2,Event3,10,15,-0.55,0.58,0.49074666666666666,0.20983333333333334,0.7533333333333334,0.30538922155688625,500,3,1
F6,MonkeyC_Session06,Object2,Event3,11,16,-0.53,0.5066666666666667,0.5053866666666667,0.24316666666666667,0.7533333333333333,0.5169660678642715,500,3,1
F6,MonkeyC_Session06,Object2,Event3,12,17,-0.51,0.4066666666666667,0.4940533333333333,0.22,0.7666666666666666,0.7085828343313373,500,3,1
F6,MonkeyC_Session06,Object2,Event3,13,18,-0.49,0.56,0.49481333333333327,0.21999999999999997,0.7736666666666664,0.3333333333333333,500,3,1
F6,MonkeyC_Session06,Object2,Event3,14,19,-0.47,0.4666666666666666,0.46482666666666667,0.19999999999999998,0.7333333333333334,0.5069860279441117,500,3,1
F6,MonkeyC_Session06,Object2,Event3,15,20,-0.45,0.37333333333333335,0.4918933333333333,0.23650000000000002,0.7634999999999998,0.7604790419161677,500,3,1
F6,MonkeyC_Session06,Object2,Event3,16,21,-0.43,0.39333333333333337,0.4767733333333334,0.20983333333333332,0.7368333333333331,0.7025948103792415,500,3,1
F6,MonkeyC_Session06,Object2,Event3,17,22,-0.41,0.39333333333333337,0.48184000000000005,0.21333333333333335,0.7533333333333334,0.7065868263473054,500,3,1
F6,MonkeyC_Session06,Object2,Event3,18,23,-0.39,0.5266666666666667,0.5042,0.21999999999999997,0.7666666666666666,0.47904191616766467,500,3,1
F6,MonkeyC_Session06,Object2,Event3,19,24,-0.37,0.52,0.50924,0.20633333333333337,0.7733333333333334,0.47904191616766467,500,3,1
F6,MonkeyC_Session06,Object2,Event3,20,25,-0.35,0.5266666666666667,0.47462666666666664,0.20983333333333332,0.7434999999999999,0.37524950099800397,500,3,1
F6,MonkeyC_Session06,Object2,Event3,21,26,-0.33,0.45333333333333337,0.5052666666666668,0.22983333333333333,0.7533333333333334,0.6427145708582834,500,3,1
F6,MonkeyC_Session06,Object2,Event3,22,27,-0.31,0.2866666666666667,0.52404,0.25333333333333335,0.7799999999999999,0.9500998003992016,500,3,1
F6,MonkeyC_Session06,Object2,Event3,23,28,-0.29,0.22666666666666666,0.5153733333333333,0.25999999999999995,0.7733333333333334,0.9840319361277445,500,3,1
F6,MonkeyC_Session06,Object2,Event3,24,29,-0.27,0.37999999999999995,0.5158266666666665,0.24,0.7768333333333332,0.8063872255489022,500,3,1
F6,MonkeyC_Session06,Object2,Event3,25,30,-0.25,0.22,0.5030666666666668,0.22316666666666668,0.7666666666666666,0.9760479041916168,500,3,1
F6,MonkeyC_Session06,Object2,Event3,26,31,-0.2299999999999999,0.11333333333333333,0.4848933333333334,0.18666666666666668,0.7866666666666667,0.9940119760479041,500,3,1
F6,MonkeyC_Session06,Object2,Event3,27,32,-0.21,0.41333333333333333,0.49693333333333334,0.2165,0.7501666666666665,0.7225548902195609,500,3,1
F6,MonkeyC_Session06,Object2,Event3,28,33,-0.19,0.5133333333333333,0.4971066666666667,0.2333333333333333,0.7469999999999997,0.4630738522954092,500,3,1
F6,MonkeyC_Session06,Object2,Event3,29,34,-0.17,0.62,0.49373333333333336,0.2,0.7469999999999998,0.20958083832335328,500,3,1
F6,MonkeyC_Session06,Object2,Event3,30,35,-0.15,0.3133333333333333,0.49516,0.22316666666666668,0.7568333333333332,0.8942115768463074,500,3,1
F6,MonkeyC_Session06,Object2,Event3,31,36,-0.13,0.5466666666666667,0.5015066666666667,0.2365,0.7466666666666667,0.4031936127744511,500,3,1
F6,MonkeyC_Session06,Object2,Event3,32,37,-0.1099999999999999,0.36000000000000004,0.5079466666666668,0.22666666666666666,0.7933333333333333,0.8363273453093812,500,3,1
F6,MonkeyC_Session06,Object2,Event3,33,38,-0.09,0.4266666666666667,0.5089600000000001,0.21333333333333332,0.7634999999999998,0.7005988023952096,500,3,1
F6,MonkeyC_Session06,Object2,Event3,34,39,-0.07,0.4533333333333333,0.5142933333333333,0.25333333333333335,0.7799999999999999,0.6666666666666666,500,3,1
F6,MonkeyC_Session06,Object2,Event3,35,40,-0.05,0.3066666666666667,0.5164133333333333,0.24,0.7834999999999998,0.9141716566866267,500,3,1
F6,MonkeyC_Session06,Object2,Event3,36,41,-0.03,0.42,0.50136,0.21999999999999997,0.7666666666666666,0.6806387225548902,500,3,1
F6,MonkeyC_Session06,Object2,Event3,37,42,-0.01,0.38666666666666666,0.47831999999999997,0.18666666666666668,0.7701666666666664,0.7365269461077845,500,3,1
F6,MonkeyC_Session06,Object2,Event3,38,43,0.01,0.5666666666666667,0.4713733333333333,0.21650000000000003,0.7669999999999998,0.26746506986027946,500,3,1
F6,MonkeyC_Session06,Object2,Event3,39,44,0.03,0.6866666666666669,0.49961333333333335,0.22666666666666668,0.7466666666666667,0.08782435129740519,500,3,1
F6,MonkeyC_Session06,Object2,Event3,40,45,0.0499999999999999,0.7000000000000001,0.5178666666666666,0.23650000000000002,0.7768333333333332,0.09780439121756487,500,3,1
F6,MonkeyC_Session06,Object2,Event3,41,46,0.0699999999999999,0.7066666666666667,0.5261333333333333,0.24,0.7866666666666666,0.11976047904191617,500,3,1
F6,MonkeyC_Session06,Object2,Event3,42,47,0.0899999999999999,0.4466666666666666,0.5172933333333333,0.25333333333333335,0.7834999999999999,0.6906187624750499,500,3,1
F6,MonkeyC_Session06,Object2,Event3,43,48,0.1099999999999999,0.43333333333333335,0.49756,0.21300000000000002,0.7434999999999998,0.7025948103792415,500,3,1
F6,MonkeyC_Session06,Object2,Event3,44,49,0.13,0.5133333333333333,0.5041466666666667,0.25333333333333335,0.7266666666666667,0.5069860279441117,500,3,1
F6,MonkeyC_Session06,Object2,Event3,45,50,0.15,0.46,0.5247999999999999,0.28,0.7733333333333334,0.6586826347305389,500,3,1
F6,MonkeyC_Session06,Object2,Event3,46,51,0.1699999999999999,0.7066666666666667,0.49382666666666664,0.22666666666666666,0.7466666666666667,0.06986027944111776,500,3,1
F6,MonkeyC_Session06,Object2,Event3,47,52,0.1899999999999999,0.6266666666666667,0.48519999999999996,0.24,0.7834999999999998,0.18363273453093812,500,3,1
F6,MonkeyC_Session06,Object2,Event3,48,53,0.2099999999999999,0.66,0.5121066666666667,0.25333333333333335,0.760333333333333,0.15169660678642716,500,3,1
F6,MonkeyC_Session06,Object2,Event3,49,54,0.2299999999999999,0.3666666666666667,0.5256000000000001,0.2796666666666667,0.7533333333333334,0.8802395209580839,500,3,1
F6,MonkeyC_Session06,Object2,Event3,50,55,0.25,0.17333333333333337,0.53384,0.2866666666666667,0.7733333333333334,1.0,500,3,1
F6,MonkeyC_Session06,Object2,Event3,51,56,0.27,0.26,0.52,0.2565,0.7733333333333334,0.9720558882235529,500,3,1
F6,MonkeyC_Session06,Object2,Event3,52,57,0.29,0.2733333333333333,0.5064133333333333,0.23333333333333334,0.7634999999999998,0.9481037924151696,500,3,1
F6,MonkeyC_Session06,Object2,Event3,53,58,0.31,0.5866666666666668,0.4941466666666667,0.22666666666666666,0.7466666666666667,0.2714570858283433,500,3,1
F6,MonkeyC_Session06,Object2,Event3,54,59,0.33,0.5066666666666666,0.4813466666666667,0.21333333333333335,0.7368333333333331,0.4590818363273453,500,3,1
F6,MonkeyC_Session06,Object2,Event3,55,60,0.3500000000000001,0.6333333333333333,0.47584000000000004,0.20983333333333332,0.7666666666666666,0.16966067864271456,500,3,1
F6,MonkeyC_Session06,Object2,Event3,56,61,0.3699999999999999,0.7133333333333334,0.48042666666666667,0.22,0.7568333333333332,0.05588822355289421,500,3,1
F6,MonkeyC_Session06,Object2,Event3,57,62,0.3899999999999999,0.6733333333333333,0.49812,0.22666666666666666,0.7666666666666666,0.14171656686626746,500,3,1
F6,MonkeyC_Session06,Object2,Event3,58,63,0.4099999999999999,0.6533333333333333,0.47103999999999996,0.1965,0.7469999999999997,0.13373253493013973,500,3,1
F6,MonkeyC_Session06,Object2,Event3,59,64,0.4299999999999999,0.4933333333333334,0.48740000000000006,0.22633333333333336,0.7666666666666666,0.47904191616766467,500,3,1
F6,MonkeyC_Session06,Object2,Event3,60,65,0.4499999999999999,0.45999999999999996,0.48854666666666663,0.22666666666666666,0.7333333333333334,0.5728542914171657,500,3,1
