area,session,object,event,obs_auc_pre,obs_auc_post,obs_delta_auc,p_pre,p_post,p_delta,n_shuffle,pre_bin_start,pre_bin_stop_exclusive,post_bin_start,post_bin_stop_exclusive,null_pre_mean,null_pre_ci95_low,null_pre_ci95_high,null_post_mean,null_post_ci95_low,null_post_ci95_high,null_delta_mean,null_delta_ci95_low,null_delta_ci95_high
F5,MonkeyB_Session07,Object2,Event1,0.768888888888889,0.2733333333333333,-0.49555555555555564,0.02594810379241517,0.9520958083832335,0.9960079840319361,500,0,10,10,50,0.5046933333333333,0.23522222222222225,0.7666666666666667,0.4930711111111111,0.22994444444444445,0.7334444444444443,-0.011622222222222216,-0.3423333333333333,0.3602222222222221
F5,MonkeyB_Session07,Object2,Event3,0.3244444444444445,0.8711111111111112,0.5466666666666666,0.9021956087824351,0.001996007984031936,0.001996007984031936,500,0,40,40,70,0.5128711111111112,0.23661111111111113,0.7480555555555554,0.49599111111111116,0.23194444444444448,0.7556666666666665,-0.016879999999999996,-0.38350000000000006,0.38677777777777766
F5,MonkeyB_Session07,Object3,Event1,0.3911111111111111,0.6755555555555556,0.2844444444444445,0.7784431137724551,0.08183632734530938,0.06187624750499002,500,0,10,10,50,0.49941555555555556,0.2516388888888889,0.7333888888888886,0.4909200000000001,0.21872222222222226,0.7568333333333331,-0.008495555555555557,-0.39725,0.35308333333333297
F5,MonkeyB_Session07,Object3,Event3,0.44444444444444436,0.72,0.2755555555555556,0.6367265469061876,0.05788423153692615,0.08582834331337326,500,0,40,40,70,0.49117333333333335,0.25438888888888894,0.7478333333333332,0.50358,0.2277222222222223,0.7577777777777778,0.012406666666666665,-0.3463055555555556,0.3758888888888886
F5,MonkeyB_Session08,Object1,Event1,0.4688888888888889,0.508888888888889,0.040000000000000036,0.592814371257485,0.4491017964071856,0.3772455089820359,500,0,10,10,50,0.5017244444444444,0.24983333333333335,0.7811666666666667,0.48736000000000007,0.22,0.7223333333333333,-0.01436444444444445,-0.3233888888888889,0.280111111111111
F5,MonkeyB_Session08,Object1,Event3,0.5622222222222222,0.44888888888888895,-0.11333333333333323,0.3013972055888224,0.6467065868263473,0.7844311377245509,500,0,40,40,70,0.49630222222222226,0.26761111111111113,0.7433888888888889,0.4998044444444445,0.2521666666666667,0.7468888888888886,0.003502222222222222,-0.2867777777777779,0.3100555555555556
F5,MonkeyB_Session08,Object2,Event1,0.2733333333333334,0.5,0.22666666666666663,0.9540918163672655,0.4930139720558882,0.0998003992015968,500,0,10,10,50,0.4933955555555556,0.24222222222222226,0.7287499999999997,0.4990488888888889,0.2549166666666666,0.7456111111111111,0.005653333333333332,-0.3016944444444443,0.36836111111111114
F5,MonkeyB_Session08,Object2,Event3,0.6955555555555556,0.36444444444444435,-0.33111111111111124,0.05189620758483034,0.8163672654690619,0.9800399201596807,500,0,40,40,70,0.49682222222222233,0.24222222222222226,0.7368333333333331,0.5015822222222223,0.24105555555555555,0.7757777777777778,0.0047599999999999995,-0.3155555555555556,0.3545
F5,MonkeyB_Session08,Object3,Event1,0.5733333333333334,0.508888888888889,-0.06444444444444442,0.3393213572854291,0.5129740518962076,0.6167664670658682,500,0,10,10,50,0.5070977777777778,0.26211111111111113,0.7522777777777776,0.49753777777777775,0.23088888888888892,0.734611111111111,-0.009560000000000003,-0.3722777777777778,0.31894444444444436
F5,MonkeyB_Session08,Object3,Event3,0.6288888888888888,0.76,0.13111111111111118,0.1996007984031936,0.013972055888223553,0.22954091816367264,500,0,40,40,70,0.5112577777777777,0.25883333333333336,0.7645555555555555,0.49875555555555556,0.23661111111111113,0.7411666666666665,-0.012502222222222218,-0.3581111111111111,0.3624444444444443
