area,session,event,train_object,test_object,acc,auc,evaluation,is_cross_object
F5,MonkeyB_Session03,Event1,Object3,Object2,0.4666666666666667,0.43999999999999995,cross_object_holdout,True
F5,MonkeyB_Session03,Event1,Object3,Object3,0.3566666666666666,0.27555555555555555,within_object_cv,False
F5,MonkeyB_Session03,Event3,Object1,Object1,0.45,0.43777777777777777,within_object_cv,False
F5,MonkeyB_Session03,Event3,Object1,Object2,0.6666666666666666,0.6444444444444445,cross_object_holdout,True
F5,MonkeyB_Session03,Event3,Object1,Object3,0.4666666666666667,0.4711111111111111,cross_object_holdout,True
F5,MonkeyB_Session03,Event3,Object2,Object1,0.43333333333333335,0.5333333333333333,cross_object_holdout,True
F5,MonkeyB_Session03,Event3,Object2,Object2,0.5833333333333333,0.6177777777777778,within_object_cv,False
F5,MonkeyB_Session03,Event3,Object2,Object3,0.5,0.5466666666666666,cross_object_holdout,True
F5,MonkeyB_Session03,Event3,Object3,Object1,0.43333333333333335,0.45777777777777784,cross_object_holdout,True
F5,MonkeyB_Session03,Event3,Object3,Object2,0.5666666666666667,0.5644444444444445,cross_object_holdout,True
F5,MonkeyB_Session03,Event3,Object3,Object3,0.4033333333333334,0.3977777777777778,within_object_cv,False
F5,MonkeyB_Session04,Event1,Object1,Object1,0.4966666666666667,0.5044444444444445,within_object_cv,False
F5,MonkeyB_Session04,Event1,Object1,Object2,0.5,0.5022222222222222,cross_object_holdout,True
F5,MonkeyB_Session04,Event1,Object1,Object3,0.7,0.5466666666666667,cross_object_holdout,True
F5,MonkeyB_Session04,Event1,Object2,Object1,0.4666666666666667,0.4311111111111111,cross_object_holdout,True
F5,MonkeyB_Session04,Event1,Object2,Object2,0.5866666666666667,0.6311111111111111,within_object_cv,False
F5,MonkeyB_Session04,Event1,Object2,Object3,0.4666666666666667,0.4355555555555555,cross_object_holdout,True
F5,MonkeyB_Session04,Event1,Object3,Object1,0.5666666666666667,0.5288888888888889,cross_object_holdout,True
F5,MonkeyB_Session04,Event1,Object3,Object2,0.43333333333333335,0.4355555555555556,cross_object_holdout,True
F5,MonkeyB_Session04,Event1,Object3,Object3,0.44333333333333336,0.44,within_object_cv,False
F5,MonkeyB_Session04,Event3,Object1,Object1,0.67,0.6955555555555556,within_object_cv,False
F5,MonkeyB_Session04,Event3,Object1,Object2,0.5,0.5066666666666667,cross_object_holdout,True
F5,MonkeyB_Session04,Event3,Object1,Object3,0.8,0.7777777777777778,cross_object_holdout,True
F5,MonkeyB_Session04,Event3,Object2,Object1,0.5666666666666667,0.64,cross_object_holdout,True
F5,MonkeyB_Session04,Event3,Object2,Object2,0.6133333333333333,0.5866666666666667,within_object_cv,False
F5,MonkeyB_Session04,Event3,Object2,Object3,0.6,0.7244444444444444,cross_object_holdout,True
F5,MonkeyB_Session04,Event3,Object3,Object1,0.6666666666666666,0.711111111111111,cross_object_holdout,True
F5,MonkeyB_Session04,Event3,Object3,Object2,0.7,0.7422222222222221,cross_object_holdout,True
F5,MonkeyB_Session04,Event3,Object3,Object3,0.6366666666666667,0.6422222222222222,within_object_cv,False
F5,MonkeyB_Session06,Event1,Object1,Object1,0.5033333333333334,0.5777777777777778,within_object_cv,False
F5,MonkeyB_Session06,Event1,Object1,Object2,0.5333333333333333,0.46222222222222226,cross_object_holdout,True
F5,MonkeyB_Session06,Event1,Object1,Object3,0.5666666666666667,0.6133333333333333,cross_object_holdout,True
F5,MonkeyB_Session06,Event1,Object2,Object1,0.43333333333333335,0.48,cross_object_holdout,True
F5,MonkeyB_Session06,Event1,Object2,Object2,0.33666666666666667,0.24444444444444446,within_object_cv,False
F5,MonkeyB_Session06,Event1,Object2,Object3,0.5,0.5377777777777778,cross_object_holdout,True
F5,MonkeyB_Session06,Event1,Object3,Object1,0.7333333333333333,0.7244444444444444,cross_object_holdout,True
F5,MonkeyB_Session06,Event1,Object3,Object2,0.5,0.4888888888888888,cross_object_holdout,True
F5,MonkeyB_Session06,Event1,Object3,Object3,0.4833333333333333,0.5,within_object_cv,False
F5,MonkeyB_Session06,Event3,Object1,Object1,0.82,0.8866666666666667,within_object_cv,False
F5,MonkeyB_Session06,Event3,Object1,Object2,0.8,0.8844444444444445,cross_object_holdout,True
F5,MonkeyB_Session06,Event3,Object1,Object3,0.6666666666666666,0.8133333333333334,cross_object_holdout,True
F5,MonkeyB_Session06,Event3,Object2,Object1,0.8,0.8666666666666666,cross_object_holdout,True
