metric,group,value,n,source
divergence_onset_ms_mean,"area=F5,event=Event3",345.555556,51,go-nogo/reworked_results/final_analysis/07_divergence_onset/divergence_onset_summary.csv
divergence_n_onset_found,"area=F5,event=Event3",18.0,51,go-nogo/reworked_results/final_analysis/07_divergence_onset/divergence_onset_summary.csv
divergence_onset_ms_median,"area=F6,event=Event1",270.0,39,go-nogo/reworked_results/final_analysis/07_divergence_onset/divergence_onset_summary.csv
divergence_onset_ms_mean,"area=F6,event=Event1",270.0,39,go-nogo/reworked_results/final_analysis/07_divergence_onset/divergence_onset_summary.csv
divergence_n_onset_found,"area=F6,event=Event1",1.0,39,go-nogo/reworked_results/final_analysis/07_divergence_onset/divergence_onset_summary.csv
divergence_onset_ms_median,"area=F6,event=Event3",440.0,39,go-nogo/reworked_results/final_analysis/07_divergence_onset/divergence_onset_summary.csv
divergence_onset_ms_mean,"area=F6,event=Event3",393.333333,39,go-nogo/reworked_results/final_analysis/07_divergence_onset/divergence_onset_summary.csv
divergence_n_onset_found,"area=F6,event=Event3",6.0,39,go-nogo/reworked_results/final_analysis/07_divergence_onset/divergence_onset_summary.csv
mean_auc_same_object,overall,0.604657,204,go-nogo/reworked_results/object_generalization_results.csv
mean_auc_cross_object,overall,0.605291,408,go-nogo/reworked_results/object_generalization_results.csv
mean_auc_same_object,event=Event1,0.532914,102,go-nogo/reworked_results/object_generalization_results.csv
mean_auc_cross_object,event=Event1,0.518703,204,go-nogo/reworked_results/object_generalization_results.csv
