area,session,object,event,start_bin,stop_bin,center_time_s,acc,auc,n_pcs_used,p_auc,null_auc_mean,null_auc_ci95_high,q_auc
F6,MonkeyB_Session01,Object2,Event1,10,15,0.0499999999999999,0.4559999999999999,0.4583333333333333,8,0.8143712574850299,0.4898333333333334,0.8125,0.9786281096343897
F6,MonkeyB_Session01,Object2,Event1,11,16,0.07,0.425,0.355,8,0.9720558882235528,0.5102083333333334,0.8026041666666662,0.9820359281437124
F6,MonkeyB_Session01,Object2,Event1,12,17,0.0899999999999999,0.547,0.575,8,0.2574850299401197,0.4746666666666667,0.7916666666666666,0.9269080885847354
F6,MonkeyB_Session01,Object2,Event1,13,18,0.1099999999999999,0.565,0.6116666666666667,8,0.3832335329341317,0.5058333333333334,0.7916666666666666,0.9269080885847354
F6,MonkeyB_Session01,Object2,Event1,14,19,0.13,0.666,0.75,8,0.0878243512974051,0.5123333333333333,0.8026041666666662,0.8079840319361269
F6,MonkeyB_Session01,Object2,Event1,15,20,0.15,0.664,0.7233333333333333,8,0.1177644710578842,0.507375,0.7916666666666666,0.9028609447771122
F6,MonkeyB_Session01,Object2,Event1,16,21,0.1699999999999999,0.6430000000000001,0.785,8,0.0159680638722554,0.4996666666666666,0.7609374999999996,0.3978709248170315
F6,MonkeyB_Session01,Object2,Event1,17,22,0.19,0.5469999999999999,0.57,8,0.3832335329341317,0.5082916666666666,0.7916666666666666,0.9269080885847354
F6,MonkeyB_Session01,Object2,Event1,18,23,0.21,0.488,0.5449999999999999,8,0.4890219560878243,0.5151666666666667,0.7916666666666666,0.9372920825016632
F6,MonkeyB_Session01,Object2,Event1,19,24,0.2299999999999999,0.4009999999999999,0.3416666666666666,8,0.7644710578842315,0.5154166666666666,0.8125,0.9786281096343897
F6,MonkeyB_Session01,Object2,Event1,20,25,0.25,0.416,0.3783333333333333,8,0.9820359281437124,0.5097083333333333,0.8125,0.9820359281437124
F6,MonkeyB_Session01,Object2,Event1,21,26,0.27,0.392,0.3166666666666666,8,0.9580838323353292,0.501,0.8026041666666662,0.9820359281437124
F6,MonkeyB_Session01,Object2,Event1,22,27,0.29,0.5489999999999999,0.5733333333333334,8,0.6866267465069861,0.5030833333333333,0.7916666666666666,0.9786281096343897
F6,MonkeyB_Session01,Object2,Event1,23,28,0.31,0.5760000000000001,0.5850000000000001,8,0.8622754491017964,0.5025416666666667,0.7916666666666666,0.9786281096343897
F6,MonkeyB_Session01,Object2,Event1,24,29,0.33,0.6080000000000001,0.6216666666666666,8,0.4211576846307385,0.5007916666666666,0.7916666666666666,0.9269080885847354
F6,MonkeyB_Session01,Object2,Event1,25,30,0.35,0.606,0.6866666666666665,8,0.24750499001996,0.5002916666666667,0.7916666666666666,0.9269080885847354
F6,MonkeyB_Session01,Object2,Event1,26,31,0.37,0.5479999999999999,0.5433333333333333,8,0.3912175648702595,0.476625,0.7916666666666666,0.9269080885847354
F6,MonkeyB_Session01,Object2,Event1,27,32,0.3899999999999999,0.6809999999999999,0.7583333333333334,8,0.2415169660678642,0.4784583333333334,0.75,0.9269080885847354
F6,MonkeyB_Session01,Object2,Event1,28,33,0.41,0.6459999999999999,0.7033333333333335,8,0.3093812375249501,0.4944166666666666,0.7708333333333334,0.9269080885847354
F6,MonkeyB_Session01,Object2,Event1,29,34,0.43,0.5850000000000001,0.6433333333333333,8,0.0259481037924151,0.503,0.7916666666666666,0.3978709248170315
F6,MonkeyB_Session01,Object2,Event1,30,35,0.45,0.65,0.7233333333333334,8,0.0259481037924151,0.5197083333333332,0.8125,0.3978709248170315
F6,MonkeyB_Session01,Object2,Event1,31,36,0.47,0.539,0.5783333333333333,8,0.5848303393213573,0.50475,0.7916666666666666,0.9786281096343897
F6,MonkeyB_Session01,Object2,Event1,32,37,0.49,0.513,0.5733333333333334,8,0.2055888223552894,0.4941666666666666,0.7916666666666666,0.9269080885847354
F6,MonkeyB_Session01,Object2,Event1,33,38,0.51,0.528,0.565,8,0.2055888223552894,0.4930416666666666,0.7708333333333334,0.9269080885847354
F6,MonkeyB_Session01,Object2,Event1,34,39,0.53,0.602,0.625,8,0.3972055888223553,0.4872083333333333,0.8026041666666662,0.9269080885847354
F6,MonkeyB_Session01,Object2,Event1,35,40,0.55,0.483,0.4266666666666667,8,0.8483033932135728,0.486625,0.8125,0.9786281096343897
F6,MonkeyB_Session01,Object2,Event1,36,41,0.5700000000000001,0.585,0.665,8,0.1896207584830339,0.4911666666666666,0.7916666666666666,0.9269080885847354
F6,MonkeyB_Session01,Object2,Event1,37,42,0.5900000000000001,0.601,0.68,8,0.4231536926147705,0.4936666666666666,0.7916666666666666,0.9269080885847354
